time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.30AM,16,16,7km/h,87%,0%,Mostly clear.
01.30AM,16,16,8km/h,88%,0%,Mostly clear.
02.30AM,15,15,8km/h,89%,0%,Mostly clear.
03.30AM,15,15,7km/h,90%,0%,Mostly clear.
04.30AM,15,15,6km/h,91%,0%,Mostly clear.
05.30AM,14,15,6km/h,92%,0%,Mostly sunny.
06.30AM,15,15,6km/h,93%,0%,Mostly sunny.
07.30AM,17,17,5km/h,89%,0%,Mostly sunny.
08.30AM,20,20,5km/h,77%,0%,Mostly sunny.
09.30AM,23,24,7km/h,66%,0%,Mostly sunny.
10.30AM,24,26,10km/h,59%,0%,Mostly sunny.
11.30AM,26,26,10km/h,55%,0%,Mostly sunny.
12.30PM,26,27,10km/h,51%,1%,Mostly sunny.
13.30PM,27,27,10km/h,49%,1%,Mostly sunny.
14.30PM,26,27,9km/h,50%,1%,Mostly sunny.
15.30PM,25,26,9km/h,55%,1%,Mostly sunny.
16.30PM,23,25,9km/h,62%,1%,Mostly sunny.
17.30PM,21,21,9km/h,69%,0%,Mostly clear.
18.30PM,20,20,8km/h,74%,0%,Clear.
19.30PM,19,19,8km/h,78%,0%,Clear.
20.30PM,18,18,7km/h,81%,0%,Clear.
21.30PM,17,17,8km/h,84%,0%,Clear.
22.30PM,16,16,8km/h,85%,0%,Clear.
23.30PM,16,16,8km/h,86%,0%,Clear.
