time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,18,18,9km/h,86%,4%,Passing clouds.
01.00AM,18,18,9km/h,88%,3%,Passing clouds.
02.00AM,18,18,8km/h,90%,3%,Passing clouds.
03.00AM,17,17,8km/h,93%,3%,Passing clouds.
04.00AM,17,17,8km/h,94%,3%,Passing clouds.
05.00AM,17,17,8km/h,94%,2%,Clear.
06.00AM,17,17,8km/h,95%,2%,Sunny.
07.00AM,16,16,9km/h,99%,2%,Sunny.
08.00AM,18,18,10km/h,87%,1%,Sunny.
09.00AM,21,21,10km/h,73%,1%,Sunny.
10.00AM,23,25,10km/h,59%,1%,Mostly sunny.
11.00AM,25,26,10km/h,50%,0%,Mostly sunny.
12.00PM,26,26,11km/h,44%,0%,Mostly sunny.
13.00PM,27,27,11km/h,40%,0%,Mostly sunny.
14.00PM,27,27,12km/h,39%,0%,Mostly sunny.
15.00PM,26,26,12km/h,41%,0%,Mostly sunny.
16.00PM,25,26,12km/h,46%,0%,Mostly sunny.
17.00PM,24,25,11km/h,53%,0%,Mostly sunny.
18.00PM,22,25,10km/h,61%,1%,Mostly clear.
19.00PM,21,21,10km/h,69%,2%,Mostly clear.
20.00PM,20,20,9km/h,75%,2%,Mostly clear.
21.00PM,19,19,9km/h,79%,2%,Mostly clear.
22.00PM,18,18,9km/h,82%,2%,Passing clouds.
23.00PM,18,18,8km/h,85%,2%,Passing clouds.
