time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,24,24,6km/h,82%,2%,Clear.
01.00AM,24,24,6km/h,82%,2%,Clear.
02.00AM,23,23,6km/h,84%,2%,Clear.
03.00AM,23,23,6km/h,84%,2%,Clear.
04.00AM,23,22,6km/h,85%,2%,Clear.
05.00AM,22,22,7km/h,86%,2%,Clear.
06.00AM,22,21,6km/h,87%,2%,Sunny.
07.00AM,23,22,6km/h,85%,2%,Sunny.
08.00AM,24,25,7km/h,80%,2%,Sunny.
09.00AM,26,28,9km/h,73%,2%,Sunny.
10.00AM,28,30,12km/h,67%,2%,Sunny.
11.00AM,29,31,13km/h,62%,2%,Sunny.
12.00PM,29,32,15km/h,60%,2%,Sunny.
13.00PM,29,32,15km/h,59%,2%,Sunny.
14.00PM,29,31,15km/h,59%,2%,Sunny.
15.00PM,29,31,14km/h,61%,2%,Sunny.
16.00PM,28,30,13km/h,65%,2%,Sunny.
17.00PM,27,29,12km/h,69%,2%,Sunny.
18.00PM,26,28,10km/h,73%,2%,Clear.
19.00PM,26,27,9km/h,75%,2%,Clear.
20.00PM,26,27,9km/h,76%,2%,Clear.
21.00PM,25,26,8km/h,78%,2%,Clear.
22.00PM,25,25,8km/h,79%,2%,Clear.
23.00PM,24,25,8km/h,80%,1%,Clear.
