time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,16,16,7km/h,76%,1%,Clear.
01.00AM,16,16,8km/h,77%,1%,Clear.
02.00AM,16,16,8km/h,78%,1%,Clear.
03.00AM,15,15,8km/h,80%,1%,Clear.
04.00AM,15,15,7km/h,80%,1%,Clear.
05.00AM,15,15,8km/h,80%,0%,Clear.
06.00AM,15,15,8km/h,80%,0%,Clear.
07.00AM,14,14,8km/h,82%,0%,Sunny.
08.00AM,15,15,8km/h,77%,0%,Sunny.
09.00AM,18,18,8km/h,66%,1%,Sunny.
10.00AM,21,21,7km/h,58%,1%,Sunny.
11.00AM,22,25,7km/h,53%,1%,Sunny.
12.00PM,24,25,8km/h,48%,1%,Mostly sunny.
13.00PM,25,26,9km/h,45%,1%,Mostly sunny.
14.00PM,25,26,9km/h,44%,1%,Mostly sunny.
15.00PM,26,26,9km/h,43%,2%,Mostly sunny.
16.00PM,25,26,9km/h,44%,3%,Broken clouds.
17.00PM,24,25,9km/h,50%,3%,Broken clouds.
18.00PM,23,25,9km/h,54%,4%,Broken clouds.
19.00PM,22,25,9km/h,57%,4%,Broken clouds.
20.00PM,22,25,9km/h,59%,4%,Mostly clear.
21.00PM,21,21,9km/h,63%,4%,Mostly clear.
22.00PM,20,20,9km/h,68%,4%,Passing clouds.
23.00PM,20,20,10km/h,71%,4%,Passing clouds.
