,time,temperature,feels_like,wind speed,humidity,precipitation,weather
0,03.00AM,18,18,9km/h,85%,0%,Clear.
1,04.00AM,18,18,9km/h,88%,0%,Clear.
2,05.00AM,18,18,9km/h,90%,0%,Clear.
3,06.00AM,18,18,9km/h,90%,0%,Sunny.
4,07.00AM,19,19,9km/h,85%,0%,Sunny.
5,08.00AM,21,21,10km/h,76%,0%,Sunny.
6,09.00AM,24,25,10km/h,65%,0%,Sunny.
7,10.00AM,26,27,11km/h,55%,0%,Sunny.
8,11.00AM,28,28,12km/h,49%,0%,Sunny.
9,12.00PM,29,29,12km/h,44%,0%,Sunny.
10,13.00PM,30,30,12km/h,40%,0%,Sunny.
11,14.00PM,30,29,11km/h,39%,0%,Sunny.
12,15.00PM,29,29,10km/h,39%,0%,Sunny.
13,16.00PM,28,28,10km/h,43%,0%,Sunny.
14,17.00PM,27,27,9km/h,48%,0%,Sunny.
15,18.00PM,24,26,9km/h,55%,0%,Clear.
16,19.00PM,22,24,9km/h,64%,0%,Clear.
17,20.00PM,21,21,9km/h,69%,0%,Clear.
18,21.00PM,20,20,8km/h,73%,0%,Clear.
19,22.00PM,19,19,8km/h,79%,0%,Clear.
20,23.00PM,18,18,7km/h,82%,0%,Clear.
21,00.00AM,17,17,7km/h,84%,0%,Clear.
22,01.00AM,17,17,8km/h,85%,0%,Clear.
23,02.00AM,17,17,8km/h,86%,0%,Clear.
