time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,18,18,9km/h,60%,1%,Clear.
01.00AM,17,17,9km/h,65%,1%,Clear.
02.00AM,17,17,10km/h,69%,1%,Clear.
03.00AM,16,16,9km/h,70%,1%,Mostly clear.
04.00AM,16,16,9km/h,71%,1%,Passing clouds.
05.00AM,16,16,9km/h,72%,1%,Passing clouds.
06.00AM,16,16,10km/h,73%,2%,Passing clouds.
07.00AM,17,17,10km/h,72%,2%,More sun than clouds.
08.00AM,18,18,11km/h,67%,2%,More sun than clouds.
09.00AM,20,20,13km/h,58%,2%,More sun than clouds.
10.00AM,22,25,14km/h,50%,3%,More sun than clouds.
11.00AM,23,25,16km/h,45%,3%,Broken clouds.
12.00PM,24,25,16km/h,43%,3%,Broken clouds.
13.00PM,25,26,16km/h,42%,3%,Broken clouds.
14.00PM,25,26,16km/h,42%,2%,Broken clouds.
15.00PM,25,26,15km/h,42%,3%,Broken clouds.
16.00PM,24,25,15km/h,45%,3%,Broken clouds.
17.00PM,22,25,14km/h,50%,3%,Mostly sunny.
18.00PM,21,25,14km/h,57%,5%,Passing clouds.
19.00PM,20,20,16km/h,67%,7%,Broken clouds.
20.00PM,19,19,17km/h,72%,9%,Broken clouds.
21.00PM,19,19,17km/h,73%,8%,Broken clouds.
22.00PM,18,18,15km/h,75%,7%,Broken clouds.
23.00PM,18,18,14km/h,78%,6%,Broken clouds.
