time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,15,16,6km/h,86%,0%,Clear.
01.00AM,15,15,7km/h,86%,0%,Clear.
02.00AM,15,15,7km/h,85%,0%,Clear.
03.00AM,15,15,7km/h,85%,0%,Clear.
04.00AM,14,14,6km/h,86%,0%,Clear.
05.00AM,14,14,6km/h,87%,0%,Clear.
06.00AM,14,13,6km/h,88%,0%,Sunny.
07.00AM,14,14,6km/h,86%,0%,High level clouds.
08.00AM,16,16,6km/h,78%,0%,High level clouds.
09.00AM,19,19,6km/h,67%,1%,High level clouds.
10.00AM,22,25,7km/h,58%,1%,More sun than clouds.
11.00AM,24,25,8km/h,53%,1%,More sun than clouds.
12.00PM,25,26,8km/h,47%,2%,More sun than clouds.
13.00PM,26,26,9km/h,44%,3%,More sun than clouds.
14.00PM,26,26,8km/h,42%,4%,High level clouds.
15.00PM,26,26,8km/h,43%,5%,High level clouds.
16.00PM,25,26,8km/h,47%,6%,More sun than clouds.
17.00PM,23,25,8km/h,53%,7%,More sun than clouds.
18.00PM,22,25,9km/h,56%,6%,Passing clouds.
19.00PM,22,25,9km/h,59%,5%,Passing clouds.
20.00PM,21,21,9km/h,62%,4%,Passing clouds.
21.00PM,20,20,9km/h,66%,4%,Passing clouds.
22.00PM,19,19,9km/h,71%,3%,Passing clouds.
23.00PM,19,19,9km/h,74%,2%,Passing clouds.
