time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,17,17,5km/h,91%,0%,High level clouds.
01.00AM,17,17,6km/h,92%,0%,High level clouds.
02.00AM,16,16,6km/h,93%,0%,High level clouds.
03.00AM,16,16,6km/h,93%,0%,High level clouds.
04.00AM,15,16,6km/h,94%,0%,High level clouds.
05.00AM,15,15,6km/h,95%,0%,High level clouds.
06.00AM,15,15,6km/h,93%,0%,Sunny.
07.00AM,15,16,7km/h,94%,0%,Sunny.
08.00AM,18,18,8km/h,82%,0%,Sunny.
09.00AM,21,21,8km/h,71%,0%,Sunny.
10.00AM,23,25,9km/h,64%,0%,Sunny.
11.00AM,25,26,9km/h,58%,0%,Sunny.
12.00PM,26,27,10km/h,52%,0%,Sunny.
13.00PM,26,27,9km/h,49%,0%,Sunny.
14.00PM,26,27,9km/h,48%,0%,Sunny.
15.00PM,26,26,8km/h,49%,0%,Sunny.
16.00PM,24,26,8km/h,53%,0%,Sunny.
17.00PM,23,25,7km/h,58%,0%,Clear.
18.00PM,22,24,7km/h,62%,0%,Clear.
19.00PM,21,24,7km/h,65%,0%,Clear.
20.00PM,20,20,6km/h,68%,0%,Clear.
21.00PM,19,19,6km/h,73%,0%,Clear.
22.00PM,18,18,5km/h,78%,0%,Clear.
23.00PM,17,17,4km/h,82%,0%,Clear.
