time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,28,29,6km/h,67%,11%,Broken clouds.
01.00AM,28,30,7km/h,67%,11%,Broken clouds.
02.00AM,28,30,7km/h,67%,11%,Broken clouds.
03.00AM,27,29,8km/h,67%,11%,Broken clouds.
04.00AM,27,29,8km/h,69%,12%,Broken clouds.
05.00AM,27,28,8km/h,70%,6%,Broken clouds.
06.00AM,27,28,7km/h,70%,12%,Broken clouds.
07.00AM,27,29,8km/h,68%,11%,Broken clouds.
08.00AM,27,29,9km/h,66%,10%,Broken clouds.
09.00AM,28,30,10km/h,61%,10%,Broken clouds.
10.00AM,29,30,11km/h,57%,11%,Broken clouds.
11.00AM,29,30,13km/h,55%,11%,Broken clouds.
12.00PM,29,30,14km/h,54%,6%,Broken clouds.
13.00PM,29,31,15km/h,55%,7%,Broken clouds.
14.00PM,30,31,16km/h,56%,7%,Broken clouds.
15.00PM,29,31,16km/h,58%,7%,Broken clouds.
16.00PM,29,31,16km/h,61%,7%,Broken clouds.
17.00PM,29,31,14km/h,62%,6%,Broken clouds.
18.00PM,28,31,12km/h,66%,28%,A few showers. Broken clouds.
19.00PM,28,31,10km/h,66%,29%,A few showers. Broken clouds.
20.00PM,28,31,10km/h,66%,15%,Broken clouds.
21.00PM,28,30,9km/h,66%,32%,A few showers. Broken clouds.
22.00PM,27,29,9km/h,66%,34%,A few showers. Mostly cloudy.
23.00PM,27,28,8km/h,68%,36%,A few showers. Broken clouds.
