time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,18,18,6km/h,73%,1%,Clear.
01.00AM,17,17,7km/h,73%,1%,Passing clouds.
02.00AM,17,17,7km/h,74%,1%,Passing clouds.
03.00AM,16,16,7km/h,76%,1%,Passing clouds.
04.00AM,16,16,6km/h,79%,1%,Passing clouds.
05.00AM,15,16,6km/h,81%,1%,Passing clouds.
06.00AM,15,15,7km/h,81%,1%,More sun than clouds.
07.00AM,17,17,8km/h,74%,1%,More sun than clouds.
08.00AM,19,19,8km/h,64%,1%,More sun than clouds.
09.00AM,23,25,9km/h,53%,2%,More sun than clouds.
10.00AM,25,26,10km/h,45%,2%,More sun than clouds.
11.00AM,27,27,10km/h,40%,2%,More sun than clouds.
12.00PM,29,28,11km/h,36%,2%,More sun than clouds.
13.00PM,30,29,11km/h,34%,2%,More sun than clouds.
14.00PM,30,29,10km/h,33%,2%,More sun than clouds.
15.00PM,30,29,9km/h,33%,2%,More sun than clouds.
16.00PM,29,28,9km/h,35%,2%,More sun than clouds.
17.00PM,26,26,7km/h,41%,2%,More sun than clouds.
18.00PM,25,26,6km/h,46%,3%,Passing clouds.
19.00PM,23,25,5km/h,50%,3%,Passing clouds.
20.00PM,22,25,5km/h,55%,3%,Passing clouds.
21.00PM,21,21,6km/h,60%,4%,Passing clouds.
22.00PM,21,21,9km/h,59%,4%,Passing clouds.
23.00PM,21,21,9km/h,59%,4%,Passing clouds.
