time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,16,16,8km/h,74%,1%,Clear.
01.00AM,16,16,8km/h,76%,1%,Clear.
02.00AM,15,15,8km/h,78%,1%,Clear.
03.00AM,15,15,8km/h,79%,1%,Clear.
04.00AM,15,15,7km/h,80%,1%,Clear.
05.00AM,14,14,7km/h,81%,0%,Clear.
06.00AM,14,14,7km/h,83%,0%,Clear.
07.00AM,14,14,7km/h,82%,0%,Sunny.
08.00AM,16,16,8km/h,75%,0%,Sunny.
09.00AM,19,19,9km/h,64%,1%,Sunny.
10.00AM,21,25,9km/h,56%,1%,Sunny.
11.00AM,23,25,9km/h,50%,1%,Sunny.
12.00PM,25,26,9km/h,45%,1%,Mostly sunny.
13.00PM,26,26,8km/h,41%,2%,Mostly sunny.
14.00PM,26,26,8km/h,39%,2%,Mostly sunny.
15.00PM,26,26,9km/h,39%,2%,Mostly sunny.
16.00PM,25,26,10km/h,43%,3%,Mostly sunny.
17.00PM,24,25,10km/h,47%,3%,Mostly sunny.
18.00PM,23,25,10km/h,52%,3%,Mostly clear.
19.00PM,22,25,10km/h,54%,3%,Mostly clear.
20.00PM,22,25,10km/h,57%,3%,Passing clouds.
21.00PM,20,20,10km/h,63%,4%,Passing clouds.
22.00PM,19,19,10km/h,71%,5%,Passing clouds.
23.00PM,18,18,10km/h,76%,6%,Passing clouds.
