time,temperature,feels_like,wind speed,humidity,precipitation,weather
00.00AM,24,25,11km/h,66%,9%,Broken clouds.
01.00AM,24,25,10km/h,68%,10%,Broken clouds.
02.00AM,24,25,10km/h,69%,10%,Broken clouds.
03.00AM,24,24,11km/h,70%,31%,A few showers. Mostly cloudy.
04.00AM,23,24,13km/h,71%,41%,A few showers. Mostly cloudy.
05.00AM,23,24,14km/h,71%,25%,Mostly cloudy.
06.00AM,23,24,14km/h,74%,45%,A few showers. Mostly cloudy.
07.00AM,22,23,15km/h,77%,40%,A few showers. Mostly cloudy.
08.00AM,22,23,17km/h,78%,34%,A few showers. Mostly cloudy.
09.00AM,22,23,15km/h,75%,45%,Rain. Mostly cloudy.
10.00AM,23,24,13km/h,73%,56%,Rain. Mostly cloudy.
11.00AM,23,24,12km/h,71%,67%,Rain. Mostly cloudy.
12.00PM,24,25,12km/h,69%,59%,Light rain. Mostly cloudy.
13.00PM,24,25,12km/h,67%,51%,Light rain. Mostly cloudy.
14.00PM,24,26,12km/h,66%,43%,Light rain. Mostly cloudy.
15.00PM,25,26,12km/h,64%,9%,Mostly cloudy.
16.00PM,25,26,11km/h,62%,8%,Broken clouds.
17.00PM,25,26,10km/h,62%,7%,Broken clouds.
18.00PM,24,25,10km/h,66%,8%,Broken clouds.
19.00PM,23,24,9km/h,69%,8%,Broken clouds.
20.00PM,23,24,9km/h,71%,9%,Broken clouds.
21.00PM,23,24,9km/h,72%,36%,Sprinkles. Broken clouds.
22.00PM,22,24,10km/h,72%,35%,Sprinkles. Broken clouds.
23.00PM,22,24,9km/h,72%,8%,Broken clouds.
